iter	Logloss
0	0.6878586247
1	0.6833897138
2	0.6787349794
3	0.6739479013
4	0.6696071556
5	0.6648582507
6	0.6604111012
7	0.6564604019
8	0.6521540975
9	0.6481254057
10	0.6440759704
11	0.6399773154
12	0.6360675295
13	0.6322162056
14	0.6285747519
15	0.6249732793
16	0.6217486894
17	0.6183381044
18	0.6148606479
19	0.6115524568
20	0.6086882915
21	0.6055028368
22	0.6025496204
23	0.5997550764
24	0.5968724448
25	0.5938818625
26	0.5911546799
27	0.5884272954
28	0.5856864714
29	0.5829381163
30	0.5802516188
31	0.5778549405
32	0.5757548885
33	0.5732848161
34	0.5708325366
35	0.5684989838
36	0.5661975606
37	0.5641387354
38	0.5620887625
39	0.5601485864
40	0.5581910445
41	0.5561822535
42	0.5542563864
43	0.5524192884
44	0.5508817663
45	0.5489905266
46	0.5473045829
47	0.5455672579
48	0.5439414644
49	0.5423285893
50	0.5407355265
51	0.5392050636
52	0.5378536879
53	0.5363041712
54	0.5347946053
55	0.5333344911
56	0.532070856
57	0.5307805968
58	0.5295017735
59	0.5283431794
60	0.5270505085
61	0.5257319214
62	0.5244899288
63	0.5233423199
64	0.522193682
65	0.5212189427
66	0.5201595891
67	0.5190594334
68	0.5180351523
69	0.517019193
70	0.5160386802
71	0.5150276067
72	0.5140545376
73	0.5130603954
74	0.5121483142
75	0.51117165
76	0.5103931706
77	0.509594424
78	0.5086939598
79	0.5078692567
80	0.5071418147
81	0.5065590003
82	0.5057852398
83	0.5050007654
84	0.5042487705
85	0.5035401275
86	0.5029522204
87	0.5023541473
88	0.5016648345
89	0.501067123
90	0.5004687926
91	0.49981158
92	0.4991920958
93	0.4985698881
94	0.4979547448
95	0.4974069551
96	0.4967868233
97	0.4962995768
98	0.4957739882
99	0.4951797135
100	0.4946134818
101	0.4941503432
102	0.4937225595
103	0.4932591076
104	0.4927842745
105	0.4923155896
106	0.4917901046
107	0.4912914181
108	0.490815178
109	0.4904317983
110	0.490025768
111	0.4895696589
112	0.4891571659
113	0.4887868423
114	0.4883811903
115	0.4879864407
116	0.4876282235
117	0.4873214358
118	0.4869774901
119	0.4866780836
120	0.4863284316
121	0.4859217009
122	0.4855952112
123	0.4852226608
124	0.4850621679
125	0.4847568761
126	0.484409383
127	0.4841795201
128	0.483852164
129	0.4837020555
130	0.4834367212
131	0.4831991758
132	0.4828678108
133	0.4825546432
134	0.4822318841
135	0.481983002
136	0.4817045235
137	0.4814406794
138	0.4811956925
139	0.4809585318
140	0.4806626894
141	0.4804448016
142	0.4802079106
143	0.4799725991
144	0.4797771383
145	0.4795022767
146	0.4792679033
147	0.4790678542
148	0.4788701741
149	0.4786831514
150	0.478502354
151	0.4783003684
152	0.4780749206
153	0.4778905209
154	0.4777283858
155	0.4775286029
156	0.4773394923
157	0.4771595332
158	0.4769527838
159	0.476881648
160	0.4767576508
161	0.4766200869
162	0.4764550028
163	0.4762961845
164	0.4761420168
165	0.4759101619
166	0.4757240067
167	0.475537658
168	0.4753476388
169	0.4751418297
170	0.4749670776
171	0.4748598382
172	0.4747188011
173	0.4745730925
174	0.4744701166
175	0.4743065821
176	0.4741624618
177	0.4740272082
178	0.4739327061
179	0.4738151286
180	0.4736798928
181	0.4735491888
182	0.4734475658
183	0.4733092542
184	0.4731995371
185	0.4730667493
186	0.4729785077
187	0.4728423201
188	0.4727930018
189	0.4726971554
190	0.472566359
191	0.4724328326
192	0.4722957485
193	0.4721965399
194	0.4721134864
195	0.4719998087
196	0.4719321142
197	0.4718994665
198	0.4717627752
199	0.4716539927
200	0.4715664639
201	0.4714612998
202	0.4713712175
203	0.4712789352
204	0.4711572292
205	0.4710732438
206	0.4710096531
207	0.4709500315
208	0.4709030561
209	0.4708025462
210	0.470692335
211	0.4705854255
212	0.4704677663
213	0.4703676659
214	0.47028319
215	0.4702182699
216	0.4701309912
217	0.4700129185
218	0.4699414473
219	0.469844567
220	0.4697591161
221	0.4696663192
222	0.4695490633
223	0.4694587151
